Term,CRN,Subj,Crse,Title,Campus,Enrollment,%Passing,A,B,C,P,D,F,NP,W,Other,ITV,TV,WEB,CLWEB,TVWEB
F07,42064,MTH,244,Statistics II,3,19,78.90%,3,5,7,0,0,1,0,3,0,0,0,0,0,0
F07,42073,MTH,60,Introductory Algebra- 1st Term,3,30,83.30%,15,7,3,0,2,0,0,3,0,0,0,0,0,0
F07,42080,MTH,243,Statistics I,1,22,59.10%,5,4,4,0,2,2,0,1,4,0,0,1,0,0
F07,42083,MTH,111C,"Col Alg for Math,Science,Engin",1,28,53.60%,5,2,8,0,2,5,0,5,1,0,0,0,0,0
F07,42087,MTH,65,Introductory Algebra-2nd Term,1,26,73.10%,4,7,8,0,3,1,0,3,0,0,0,0,0,0
F07,42219,MTH,95,Intermediate Algebra,1,16,56.30%,0,4,5,0,0,2,1,4,0,0,1,0,0,0
F07,42220,MTH,60,Introductory Algebra- 1st Term,1,44,65.90%,11,15,3,0,3,8,0,2,2,0,0,1,0,0
F07,42225,MTH,95,Intermediate Algebra,1,29,51.70%,6,6,1,2,2,0,7,3,2,0,0,0,0,0
F07,42240,MTH,20,Basic Math,1,30,66.70%,4,12,4,0,4,2,2,2,0,0,0,0,0,0
F07,42241,MTH,20,Basic Math,1,16,87.50%,10,3,1,0,0,0,0,2,0,0,0,0,0,0
F07,42242,MTH,20,Basic Math,1,14,71.40%,3,5,2,0,1,1,0,2,0,0,0,0,0,0
F07,42243,MTH,20,Basic Math,1,30,56.70%,9,6,2,0,5,3,1,3,1,0,0,0,0,0
F07,42244,MTH,20,Basic Math,1,30,53.30%,4,5,7,0,2,3,0,9,0,0,0,0,0,0
F07,42245,MTH,20,Basic Math,1,33,69.70%,11,8,4,0,3,6,0,1,0,0,0,0,0,0
F07,42246,MTH,20,Basic Math,1,31,80.60%,8,9,8,0,3,1,2,0,0,0,0,0,0,0
F07,42247,MTH,20,Basic Math,1,22,68.20%,8,5,2,0,0,5,0,2,0,0,0,0,0,0
F07,42248,MTH,20,Basic Math,1,35,48.60%,4,7,6,0,0,6,7,5,0,0,0,0,0,0
